cortarNo,centerLat,centerLon,cortarName,cortarType
11,37.566427,126.977872,서울시,city
41,37.274939,127.008689,경기도,city
28,37.456054,126.705151,인천시,city
26,35.180143,129.075413,부산시,city
30,36.350465,127.384953,대전시,city
27,35.87139,128.601763,대구시,city
31,35.5386,129.311375,울산시,city
36,36.592907,127.292375,세종시,city
29,35.160032,126.851338,광주시,city
51,37.885399,127.72975,강원도,city
43,36.636149,127.491238,충청북도,city
44,36.63629,126.68957,충청남도,city
47,36.518504,128.437796,경상북도,city
48,35.238343,128.6924,경상남도,city
52,35.820433,127.108875,전북도,city
46,34.816358,126.462443,전라남도,city
50,33.488976,126.498238,제주도,city
11680,37.517408,127.047313,강남구,dvsn
11740,37.530126,127.123771,강동구,dvsn
11305,37.63974,127.025488,강북구,dvsn
11500,37.550985,126.849534,강서구,dvsn
11620,37.481021,126.951601,관악구,dvsn
11215,37.538617,127.082375,광진구,dvsn
11530,37.49551,126.887532,구로구,dvsn
11545,37.45196,126.902075,금천구,dvsn
11350,37.654286,127.056411,노원구,dvsn
11320,37.668768,127.047163,도봉구,dvsn
11230,37.574493,127.039765,동대문구,dvsn
11590,37.51245,126.9395,동작구,dvsn
11440,37.563517,126.9084,마포구,dvsn
11410,37.579225,126.9368,서대문구,dvsn
11650,37.483564,127.032594,서초구,dvsn
11200,37.563475,127.036838,성동구,dvsn
11290,37.5874,127.020729,성북구,dvsn
11710,37.514592,127.105863,송파구,dvsn
11470,37.517007,126.866546,양천구,dvsn
11560,37.526367,126.896213,영등포구,dvsn
11170,37.538825,126.96535,용산구,dvsn
11380,37.60278,126.929163,은평구,dvsn
11110,37.573025,126.979638,종로구,dvsn
11140,37.563842,126.9976,중구,dvsn
11260,37.606324,127.092584,중랑구,dvsn
41820,37.831171,127.509625,가평군,dvsn
41281,37.637433,126.832359,고양시 덕양구,dvsn
41285,37.65879,126.775025,고양시 일산동구,dvsn
41287,37.675103,126.750578,고양시 일산서구,dvsn
41290,37.429201,126.987638,과천시,dvsn
41210,37.478587,126.864548,광명시,dvsn
41610,37.417461,127.255924,광주시,dvsn
41310,37.594409,127.129581,구리시,dvsn
41410,37.36161,126.935331,군포시,dvsn
41570,37.615267,126.715621,김포시,dvsn
41360,37.636032,127.216646,남양주시,dvsn
41250,37.903722,127.060579,동두천시,dvsn
41194,37.480072,126.79993,부천시 소사구,dvsn
41196,37.528519,126.79556,부천시 오정구,dvsn
41192,37.496596,126.787111,부천시 원미구,dvsn
