district_code,neighborhood_name,neighborhood_code
11680,개포동,1168010300
11680,논현동,1168010800
11680,대치동,1168010600
11680,도곡동,1168011800
11680,삼성동,1168010500
11680,세곡동,1168011100
11680,수서동,1168011500
11680,신사동,1168010700
11680,압구정동,1168011000
11680,역삼동,1168010100
11680,율현동,1168011300
11680,일원동,1168011400
11680,자곡동,1168011200
11680,청담동,1168010400
11740,강일동,1174011000
11740,고덕동,1174010200
11740,길동,1174010500
11740,둔촌동,1174010600
11740,명일동,1174010100
11740,상일동,1174010300
11740,성내동,1174010800
11740,암사동,1174010700
11740,천호동,1174010900
11305,미아동,1130510100
11305,번동,1130510200
11305,수유동,1130510300
11305,우이동,1130510400
11500,가양동,1150010400
11500,공항동,1150010800
11500,내발산동,1150010600
11500,등촌동,1150010200
11500,마곡동,1150010500
11500,방화동,1150010900
11500,염창동,1150010100
11500,화곡동,1150010300
11620,남현동,1162010300
11620,봉천동,1162010100
11620,신림동,1162010200
11215,광장동,1121510400
11215,구의동,1121510300
11215,군자동,1121510900
11215,능동,1121510200
11215,자양동,1121510500
11215,중곡동,1121510100
11215,화양동,1121510700
11530,가리봉동,1153010300
11530,개봉동,1153010700
11530,고척동,1153010600
11530,구로동,1153010200
11530,궁동,1153010900
11530,신도림동,1153010100
11530,오류동,1153010800
11530,온수동,1153011000
11530,천왕동,1153011100
11530,항동,1153011200
11545,가산동,1154510100
11545,독산동,1154510200
11545,시흥동,1154510300
11350,공릉동,1135010300
11350,상계동,1135010500
11350,월계동,1135010200
11350,중계동,1135010600
11350,하계동,1135010400
11320,도봉동,1132010800
11320,방학동,1132010600
11320,쌍문동,1132010500
11320,창동,1132010700
11230,답십리동,1123010500
11230,신설동,1123010100
11230,용두동,1123010200
11230,이문동,1123011000
11230,장안동,1123010600
11230,전농동,1123010400
11230,제기동,1123010300
11230,청량리동,1123010700
11230,회기동,1123010800
11230,휘경동,1123010900
11590,노량진동,1159010100
11590,대방동,1159010800
11590,동작동,1159010600
11590,본동,1159010400
11590,사당동,1159010700
11590,상도1동,1159010300
11590,상도동,1159010200
11590,신대방동,1159010900
11590,흑석동,1159010500
11440,공덕동,1144010200
11440,구수동,1144011300
11440,노고산동,1144011000
11440,대흥동,1144010800
11440,도화동,1144010400
11440,동교동,1144012100
11440,마포동,1144010700
11440,망원동,1144012300
11440,상수동,1144011500
11440,상암동,1144012700
11440,서교동,1144012000
11440,성산동,1144012500
11440,신공덕동,1144010300
11440,신수동,1144011100
11440,신정동,1144011700
11440,아현동,1144010100
11440,연남동,1144012400
11440,염리동,1144010900
11440,용강동,1144010500
11440,중동,1144012600
11440,창전동,1144011400
11440,토정동,1144010600
11440,하중동,1144011600
11440,합정동,1144012200
11440,현석동,1144011200
11410,남가좌동,1141012000
11410,냉천동,1141010500
11410,대현동,1141011200
11410,미근동,1141010400
11410,북가좌동,1141011900
11410,북아현동,1141011000
11410,연희동,1141011700
11410,영천동,1141010800
11410,창천동,1141011600
11410,천연동,1141010600
11410,충정로2가,1141010100
11410,충정로3가,1141010200
11410,합동,1141010300
11410,현저동,1141010900
11410,홍은동,1141011800
11410,홍제동,1141011100
11650,내곡동,1165010900
11650,반포동,1165010700
11650,방배동,1165010100
11650,서초동,1165010800
11650,신원동,1165011100
11650,양재동,1165010200
11650,우면동,1165010300
