date,cortarNo,py,change
2025-01,52800,332.1111111111111,-49.87002096436059
2024-12,52800,662.5,36.2047697368421
2024-11,52800,486.4,-18.83187317480184
2024-10,52800,599.25,21.79878048780488
2024-09,52800,492.0,-4.24565703164419
2024-08,52800,513.8148148148148,36.34206609945807
2024-07,52800,376.85714285714283,-25.374823196605377
2024-06,52800,505.0,-2.3277119880560693
2024-05,52800,517.0350877192983,-20.517280904027935
2024-04,52800,650.5,84.58935879945429
2024-03,52800,352.4038461538462,-25.797700032393898
2024-02,52800,474.9230769230769,39.95406687147671
2024-01,52800,339.3421052631579,-3.0532595668652185
2023-12,52800,350.02941176470586,-25.986419315161267
2023-11,52800,472.9259259259259,-2.989553656220323
2023-10,52800,487.5,35.10959939531369
2023-09,52800,360.8181818181818,-13.69018494960368
2023-08,52800,418.05,31.928994082840244
2023-07,52800,316.875,-9.039804803368101
2023-06,52800,348.3666666666667,-5.900388588759354
2023-05,52800,370.2105263157895,-8.35500633904097
2023-04,52800,403.96153846153845,16.667592335462377
2023-03,52800,346.25,-1.493598862019918
2023-02,52800,351.5,-13.92715029078665
2023-01,52800,408.375,7.325886990801567
2022-12,52800,380.5,-23.35711288292068
2022-11,52800,496.4583333333333,5.400504223981595
2022-10,52800,471.0208333333333,-13.75614147517471
2022-09,52800,546.15,4.68660149511213
2022-08,52800,521.7,7.715072264280809
2022-07,52800,484.3333333333333,19.939176713370244
2022-06,52800,403.8157894736842,12.033974025793427
2022-05,52800,360.44047619047615,-14.104146275728057
2022-04,52800,419.625,6.853745687530788
2022-03,52800,392.7096774193549,-16.634791753283274
2022-02,52800,471.07142857142856,12.098271488716295
2022-01,52800,420.2307692307692,9.329647034407106
2021-12,52800,384.3703703703704,0.6995992586770639
2021-11,52800,381.7,9.005235602094231
2021-10,52800,350.1666666666667,-18.164113217346145
2021-09,52800,427.8888888888889,19.414819982945186
2021-08,52800,358.32142857142856,-20.290354017923363
2021-07,52800,449.53333333333336,16.633735821441654
2021-06,52800,385.4230769230769,16.31024577082667
2021-05,52800,331.375,5.567059573112454
2021-04,52800,313.90000000000003,-8.862088218872122
2021-03,52800,344.4230769230769,-10.790482989921802
2021-02,52800,386.0833333333333,11.03886292469689
2021-01,52800,347.70108695652175,-14.187117478737775
2020-12,52800,405.18518518518516,15.698802386474696
2020-11,52800,350.2068965517241,-21.29251201226925
2020-10,52800,444.94736842105266,27.327906258707312
2020-09,52800,349.45,-14.965816917728858
2020-08,52800,410.95238095238096,12.128889755083483
2020-07,52800,366.5,-2.955492387368086
2020-06,52800,377.6617647058823,14.725985422697118
