complexno_py,current_price,current_jeonse,complexNo,date,max_price,by_max,by_jeonse
881_1,255000,145000,881,20250124,240000.0,1.06,0.57
881_2,255000,145000,881,20250124,268143.0,0.95,0.57
881_5,255000,145000,881,20250124,245000.0,1.04,0.57
881_4,255000,145000,881,20250124,243000.0,1.05,0.57
119219_9,190000,86667,119219,20250124,200000.0,0.95,0.46
119219_1,228333,105000,119219,20250124,237000.0,0.96,0.46
119219_10,228333,105000,119219,20250124,236000.0,0.97,0.46
119219_11,255000,118333,119219,20250124,270000.0,0.94,0.46
119219_12,283333,131667,119219,20250124,290000.0,0.98,0.46
119219_13,283333,131667,119219,20250124,297000.0,0.95,0.46
119219_14,283333,131667,119219,20250124,255000.0,1.11,0.46
119219_15,283333,131667,119219,20250124,265000.0,1.07,0.46
119219_2,320000,155000,119219,20250124,330000.0,0.97,0.48
119219_3,320000,155000,119219,20250124,310000.0,1.03,0.48
8928_1,252500,130000,8928,20250124,273000.0,0.92,0.51
8928_2,265000,138500,8928,20250124,260000.0,1.02,0.52
8928_3,282500,147500,8928,20250124,303000.0,0.93,0.52
8928_4,282500,147500,8928,20250124,246000.0,1.15,0.52
103385_1,182500,80000,103385,20250124,192000.0,0.95,0.44
10329_1,182500,71000,10329,20250124,189000.0,0.97,0.39
28_5,228333,96667,28,20210702,247000.0,0.92,0.42
28_1,256667,83333,28,20250124,246000.0,1.04,0.32
28_2,320000,101667,28,20250124,343000.0,0.93,0.32
28_6,285000,123333,28,20210702,328000.0,0.87,0.43
28_3,336667,115000,28,20250124,298000.0,1.13,0.34
28_7,320000,138333,28,20210702,380000.0,0.84,0.43
28_8,365000,116667,28,20250124,400000.0,0.91,0.32
419_1,124000,38000,419,20250124,150000.0,0.83,0.31
419_2,146333,48667,419,20250124,157000.0,0.93,0.33
419_3,168333,61000,419,20250124,175000.0,0.96,0.36
483_1,101667,29333,483,20250124,125000.0,0.81,0.29
483_2,124667,38000,483,20250124,149000.0,0.84,0.3
483_3,144000,48667,483,20250124,170000.0,0.85,0.34
113151_24,175000,76000,113151,20250124,182000.0,0.96,0.43
113151_19,175000,76000,113151,20250124,85000.0,2.06,0.43
113151_20,242500,112500,113151,20250124,245000.0,0.99,0.46
113151_25,242500,112500,113151,20250124,252000.0,0.96,0.46
113151_30,242500,112500,113151,20250124,225000.0,1.08,0.46
113151_21,290000,130000,113151,20250124,305000.0,0.95,0.45
113151_18,325000,146500,113151,20250124,330000.0,0.98,0.45
113151_2,325000,146500,113151,20250124,330000.0,0.98,0.45
113151_3,325000,146500,113151,20250124,330000.0,0.98,0.45
113151_26,370000,165000,113151,20250124,187380.0,1.97,0.45
113151_27,370000,162500,113151,20250124,340000.0,1.09,0.44
113151_4,380000,167500,113151,20250124,402500.0,0.94,0.44
113151_6,440000,217500,113151,20250124,203461.0,2.16,0.49
113151_8,440000,217500,113151,20250124,420000.0,1.05,0.49
113151_7,440000,217500,113151,20250124,445000.0,0.99,0.49
112228_1,184000,90000,112228,20250124,189000.0,0.97,0.49
112228_2,235000,110000,112228,20250124,230000.0,1.02,0.47
112228_16,235000,110000,112228,20250124,233500.0,1.01,0.47
112228_3,235000,110000,112228,20250124,240000.0,0.98,0.47
112228_17,235000,110000,112228,20250124,240000.0,0.98,0.47
112228_5,310000,140000,112228,20250124,330000.0,0.94,0.45
112228_4,310000,140000,112228,20250124,176000.0,1.76,0.45
112228_18,310000,140000,112228,20250124,313000.0,0.99,0.45
112228_6,310000,140000,112228,20250124,304500.0,1.02,0.45
112228_7,350000,170000,112228,20250124,321000.0,1.09,0.49
112228_10,350000,170000,112228,20250124,360000.0,0.97,0.49
112228_9,350000,170000,112228,20250124,350000.0,1.0,0.49
112228_8,350000,170000,112228,20250124,373000.0,0.94,0.49
112228_11,390000,185000,112228,20250124,307000.0,1.27,0.47
112228_13,390000,185000,112228,20250124,300000.0,1.3,0.47
112228_12,390000,185000,112228,20250124,369000.0,1.06,0.47
112228_14,437500,200000,112228,20250124,448000.0,0.98,0.46
112228_15,437500,200000,112228,20250124,338000.0,1.29,0.46
667_1,248000,85000,667,20250124,251700.0,0.99,0.34
667_2,310000,105000,667,20250124,319000.0,0.97,0.34
667_3,347500,122500,667,20250124,365000.0,0.95,0.35
770_1,170000,39000,770,20250124,146000.0,1.16,0.23
770_2,190000,44000,770,20250124,165000.0,1.15,0.23
770_3,215000,49000,770,20250124,220000.0,0.98,0.23
818_1,220000,85000,818,20250124,250000.0,0.88,0.39
818_2,220000,85000,818,20250124,188000.0,1.17,0.39
1317_1,235000,79333,1317,20250124,275000.0,0.85,0.34
1317_2,311667,100000,1317,20250124,320000.0,0.97,0.32
1317_3,348333,116667,1317,20250124,355000.0,0.98,0.33
1317_4,348333,116667,1317,20250124,290000.0,1.2,0.33
1321_4,260000,80000,1321,20250124,175000.0,1.49,0.31
1321_1,260000,80000,1321,20250124,272000.0,0.96,0.31
1321_2,310000,110000,1321,20250124,318000.0,0.97,0.35
1321_5,310000,110000,1321,20250124,158000.0,1.96,0.35
1321_3,370000,122500,1321,20250124,380000.0,0.97,0.33
1327_1,232500,77500,1327,20250124,250000.0,0.93,0.33
1327_2,280000,107500,1327,20250124,290000.0,0.97,0.38
1327_3,355000,132500,1327,20250124,390000.0,0.91,0.37
17533_1,120000,87500,17533,20250124,115000.0,1.04,0.73
17533_2,170000,105000,17533,20250124,172000.0,0.99,0.62
17533_3,185000,105000,17533,20250124,198000.0,0.93,0.57
17533_4,192500,115000,17533,20250124,122000.0,1.58,0.6
17533_5,200000,132500,17533,20250124,210000.0,0.95,0.66
8431_1,37250,24500,8431,20250124,40000.0,0.93,0.66
8431_10,37250,24500,8431,20250124,39000.0,0.96,0.66
8431_2,37250,24500,8431,20250124,40000.0,0.93,0.66
8431_4,50500,32000,8431,20250124,54800.0,0.92,0.63
8431_6,50500,32000,8431,20250124,50000.0,1.01,0.63
1332_1,93000,58000,1332,20250124,84000.0,1.11,0.62
1332_5,140000,72000,1332,20250124,131000.0,1.07,0.51
1332_4,140000,72000,1332,20250124,130000.0,1.08,0.51
1332_2,140000,72000,1332,20250124,69500.0,2.01,0.51
1332_3,165000,87000,1332,20250124,172000.0,0.96,0.53
14671_1,145000,73000,14671,20250124,130000.0,1.12,0.5
14671_2,145000,73000,14671,20250124,59000.0,2.46,0.5
14671_5,150000,74000,14671,20250124,120000.0,1.25,0.49
14671_6,170000,85000,14671,20250124,164000.0,1.04,0.5
14671_7,185000,97000,14671,20250124,145000.0,1.28,0.52
14671_8,185000,97000,14671,20250124,192000.0,0.96,0.52
8936_1,187500,90000,8936,20250124,198000.0,0.95,0.48
8936_2,195000,102500,8936,20250124,153000.0,1.27,0.53
8936_3,217500,117500,8936,20250124,240000.0,0.91,0.54
8971_4,310000,200000,8971,20240614,380000.0,0.82,0.65
8971_7,310000,200000,8971,20240614,245000.0,1.27,0.65
8971_6,310000,200000,8971,20240614,370000.0,0.84,0.65
8971_8,320000,215000,8971,20240614,480000.0,0.67,0.67
9765_2,170000,88000,9765,20250124,164000.0,1.04,0.52
9765_5,170000,88000,9765,20250124,120000.0,1.42,0.52
9765_3,170000,88000,9765,20250124,165000.0,1.03,0.52
9765_7,200000,115000,9765,20250124,219000.0,0.91,0.57
9765_8,200000,115000,9765,20250124,110000.0,1.82,0.57
101321_1,125000,65000,101321,20250124,120000.0,1.04,0.52
101321_2,170000,88000,101321,20250124,137000.0,1.24,0.52
101321_4,170000,88000,101321,20250124,164000.0,1.04,0.52
101321_3,170000,88000,101321,20250124,180000.0,0.94,0.52
101321_5,195000,115000,101321,20250124,206000.0,0.95,0.59
10727_5,130000,82500,10727,20250124,132000.0,0.98,0.63
10727_4,130000,82500,10727,20250124,141000.0,0.92,0.63
10727_7,130000,82500,10727,20250124,133500.0,0.97,0.63
10727_1,130000,82500,10727,20250124,101000.0,1.29,0.63
10727_6,135000,87500,10727,20250124,124250.0,1.09,0.65
10727_2,135000,87500,10727,20250124,107000.0,1.26,0.65
18_1,90000,40500,18,20250124,99500.0,0.9,0.45
18_2,170000,80000,18,20250124,180000.0,0.94,0.47
18_3,170000,80000,18,20250124,173500.0,0.98,0.47
18_4,215000,102500,18,20250124,229000.0,0.94,0.48
22828_2,140000,75000,22828,20250124,136000.0,1.03,0.54
22828_3,155000,95000,22828,20250124,153000.0,1.01,0.61
11616_1,97500,57500,11616,20250124,62500.0,1.56,0.59
11616_2,150000,82500,11616,20250124,178000.0,0.84,0.55
11616_3,175000,95000,11616,20250124,198000.0,0.88,0.54
18195_1,127000,68000,18195,20250124,133000.0,0.95,0.54
3_1,212500,67000,3,20250124,227500.0,0.93,0.32
3_2,257500,91500,3,20250124,273000.0,0.94,0.36
3_4,257500,91500,3,20250124,290000.0,0.89,0.36
3_3,290000,107500,3,20250124,310000.0,0.94,0.37
10825_1,40500,33000,10825,20250124,43000.0,0.94,0.81
29_1,105000,54000,29,20250124,111000.0,0.95,0.51
29_5,115000,64500,29,20250124,121000.0,0.95,0.56
108825_2,235000,115000,108825,20250124,260000.0,0.9,0.49
108825_8,235000,115000,108825,20250124,248000.0,0.95,0.49
108825_7,235000,115000,108825,20250124,262000.0,0.9,0.49
108825_4,285000,150000,108825,20250124,300000.0,0.95,0.53
108825_6,285000,150000,108825,20250124,320000.0,0.89,0.53
8774_1,118000,67500,8774,20250124,135000.0,0.87,0.57
3042_1,135000,44000,3042,20250124,140000.0,0.96,0.33
3042_2,160000,49000,3042,20250124,165000.0,0.97,0.31
105866_2,21000,20000,105866,20250124,25800.0,0.81,0.95
65_5,320000,112500,65,20250124,340000.0,0.94,0.35
65_1,320000,112500,65,20250124,340000.0,0.94,0.35
65_6,430000,140000,65,20250124,460000.0,0.93,0.33
65_2,420000,142500,65,20250124,445000.0,0.94,0.34
65_7,490000,160000,65,20250124,535000.0,0.92,0.33
65_3,450000,160000,65,20250124,510000.0,0.88,0.36
65_4,520000,218000,65,20250124,560000.0,0.93,0.42
111580_3,212500,137500,111580,20250124,211000.0,1.01,0.65
111580_2,320000,191500,111580,20250124,332000.0,0.96,0.6
111580_1,320000,191500,111580,20250124,312000.0,1.03,0.6
111580_4,366500,206500,111580,20250124,380000.0,0.96,0.56
111580_5,366500,206500,111580,20250124,293000.0,1.25,0.56
111580_6,377500,255000,111580,20250124,277500.0,1.36,0.68
111580_7,377500,255000,111580,20250124,320000.0,1.18,0.68
10393_1,27250,23250,10393,20250124,25000.0,1.09,0.85
10393_2,31750,26500,10393,20250124,31000.0,1.02,0.83
10393_3,35000,31000,10393,20250124,37000.0,0.95,0.89
10393_9,35000,31000,10393,20250124,35000.0,1.0,0.89
10393_4,49000,38000,10393,20250124,29000.0,1.69,0.78
10393_5,50500,40000,10393,20250124,43500.0,1.16,0.79
10393_6,53250,43500,10393,20250124,50000.0,1.06,0.82
10393_8,69000,47000,10393,20250124,65000.0,1.06,0.68
9906_1,30500,27000,9906,20250124,34000.0,0.9,0.89
9906_6,30500,27000,9906,20250124,34500.0,0.88,0.89
9906_2,31000,27000,9906,20250124,33500.0,0.93,0.87
9906_3,36000,29000,9906,20250124,38700.0,0.93,0.81
9906_4,43000,33000,9906,20250124,44000.0,0.98,0.77
9906_5,47000,38000,9906,20250124,24500.0,1.92,0.81
22493_1,300000,185000,22493,20250124,310000.0,0.97,0.62
135_1,187500,92500,135,20250124,197000.0,0.95,0.49
135_2,246500,134000,135,20250124,254000.0,0.97,0.54
135_3,295000,152500,135,20250124,305000.0,0.97,0.52
135_4,312500,167500,135,20250124,320000.0,0.98,0.54
135_5,307500,167500,135,20250124,255000.0,1.21,0.54
19418_1,255000,105000,19418,20250124,265000.0,0.96,0.41
19418_4,310000,145000,19418,20250124,320000.0,0.97,0.47
19418_2,310000,145000,19418,20250124,320000.0,0.97,0.47
19418_5,315000,145000,19418,20250124,326000.0,0.97,0.46
19418_6,380000,190000,19418,20250124,390000.0,0.97,0.5
19418_7,405000,200000,19418,20250124,407300.0,0.99,0.49
19418_8,440000,230000,19418,20250124,465000.0,0.95,0.52
13081_1,85000,60000,13081,20250124,61800.0,1.38,0.71
13081_2,85000,60000,13081,20250124,88000.0,0.97,0.71
13081_3,83000,60000,13081,20250124,80000.0,1.04,0.72
13081_4,83000,60000,13081,20250124,92000.0,0.9,0.72
13081_5,85000,60000,13081,20250124,79800.0,1.07,0.71
13081_6,94000,69000,13081,20250124,88000.0,1.07,0.73
10297_5,136500,83500,10297,20250124,80000.0,1.71,0.61
10297_2,141000,86500,10297,20250124,137000.0,1.03,0.61
10297_4,141000,86500,10297,20250124,72000.0,1.96,0.61
