지역코드	시도	시군구	읍면동	읍면동
1168010300	11	11680	1168010300	서울시 강남구 개포동
1168010800	11	11680	1168010800	서울시 강남구 논현동
1168010600	11	11680	1168010600	서울시 강남구 대치동
1168011800	11	11680	1168011800	서울시 강남구 도곡동
1168010500	11	11680	1168010500	서울시 강남구 삼성동
1168011100	11	11680	1168011100	서울시 강남구 세곡동
1168011500	11	11680	1168011500	서울시 강남구 수서동
1168010700	11	11680	1168010700	서울시 강남구 신사동
1168011000	11	11680	1168011000	서울시 강남구 압구정동
1168010100	11	11680	1168010100	서울시 강남구 역삼동
1168011300	11	11680	1168011300	서울시 강남구 율현동
1168011400	11	11680	1168011400	서울시 강남구 일원동
1168011200	11	11680	1168011200	서울시 강남구 자곡동
1168010400	11	11680	1168010400	서울시 강남구 청담동
1174011000	11	11740	1174011000	서울시 강동구 강일동
1174010200	11	11740	1174010200	서울시 강동구 고덕동
1174010500	11	11740	1174010500	서울시 강동구 길동
1174010600	11	11740	1174010600	서울시 강동구 둔촌동
1174010100	11	11740	1174010100	서울시 강동구 명일동
1174010300	11	11740	1174010300	서울시 강동구 상일동
1174010800	11	11740	1174010800	서울시 강동구 성내동
1174010700	11	11740	1174010700	서울시 강동구 암사동
1174010900	11	11740	1174010900	서울시 강동구 천호동
1130510100	11	11305	1130510100	서울시 강북구 미아동
1130510200	11	11305	1130510200	서울시 강북구 번동
1130510300	11	11305	1130510300	서울시 강북구 수유동
1130510400	11	11305	1130510400	서울시 강북구 우이동
1150010400	11	11500	1150010400	서울시 강서구 가양동
1150010800	11	11500	1150010800	서울시 강서구 공항동
1150010600	11	11500	1150010600	서울시 강서구 내발산동
1150010200	11	11500	1150010200	서울시 강서구 등촌동
1150010500	11	11500	1150010500	서울시 강서구 마곡동
1150010900	11	11500	1150010900	서울시 강서구 방화동
1150010100	11	11500	1150010100	서울시 강서구 염창동
1150010300	11	11500	1150010300	서울시 강서구 화곡동
1162010300	11	11620	1162010300	서울시 관악구 남현동
1162010100	11	11620	1162010100	서울시 관악구 봉천동
1162010200	11	11620	1162010200	서울시 관악구 신림동
1121510400	11	11215	1121510400	서울시 광진구 광장동
1121510300	11	11215	1121510300	서울시 광진구 구의동
1121510900	11	11215	1121510900	서울시 광진구 군자동
1121510200	11	11215	1121510200	서울시 광진구 능동
1121510500	11	11215	1121510500	서울시 광진구 자양동
1121510100	11	11215	1121510100	서울시 광진구 중곡동
1121510700	11	11215	1121510700	서울시 광진구 화양동
1153010300	11	11530	1153010300	서울시 구로구 가리봉동
1153010700	11	11530	1153010700	서울시 구로구 개봉동
1153010600	11	11530	1153010600	서울시 구로구 고척동
1153010200	11	11530	1153010200	서울시 구로구 구로동
1153010900	11	11530	1153010900	서울시 구로구 궁동
1153010100	11	11530	1153010100	서울시 구로구 신도림동
1153010800	11	11530	1153010800	서울시 구로구 오류동
1153011000	11	11530	1153011000	서울시 구로구 온수동
1153011100	11	11530	1153011100	서울시 구로구 천왕동
1153011200	11	11530	1153011200	서울시 구로구 항동
1154510100	11	11545	1154510100	서울시 금천구 가산동
1154510200	11	11545	1154510200	서울시 금천구 독산동
1154510300	11	11545	1154510300	서울시 금천구 시흥동
1135010300	11	11350	1135010300	서울시 노원구 공릉동
1135010500	11	11350	1135010500	서울시 노원구 상계동
1135010200	11	11350	1135010200	서울시 노원구 월계동
1135010600	11	11350	1135010600	서울시 노원구 중계동
1135010400	11	11350	1135010400	서울시 노원구 하계동
1132010800	11	11320	1132010800	서울시 도봉구 도봉동
1132010600	11	11320	1132010600	서울시 도봉구 방학동
1132010500	11	11320	1132010500	서울시 도봉구 쌍문동
1132010700	11	11320	1132010700	서울시 도봉구 창동
1123010500	11	11230	1123010500	서울시 동대문구 답십리동
1123010100	11	11230	1123010100	서울시 동대문구 신설동
1123010200	11	11230	1123010200	서울시 동대문구 용두동
1123011000	11	11230	1123011000	서울시 동대문구 이문동
1123010600	11	11230	1123010600	서울시 동대문구 장안동
1123010400	11	11230	1123010400	서울시 동대문구 전농동
1123010300	11	11230	1123010300	서울시 동대문구 제기동
1123010700	11	11230	1123010700	서울시 동대문구 청량리동
1123010800	11	11230	1123010800	서울시 동대문구 회기동
1123010900	11	11230	1123010900	서울시 동대문구 휘경동
